DrugID;PackNx;MnfID;PckID;Segment;Year;Month;IRECID;Series;Quantity;Funds;VendorID;MnfPrice;PrcPrice;RtlPrice;Remark;SrcOrg 
48222;;;;1;2012;5;;"11692A";2.00;0;19053;281.23;311.14;382.00;;
48222;;;;1;2012;5;;"21828A";1.00;0;1615;282.10;311.50;390.00;;
48222;;;;1;2012;5;;"14813A";1.00;0;19053;282.13;313.59;392.00;;
48222;;;;1;2012;5;;"14813A";1.00;0;19053;282.13;313.59;392.00;;
48222;;;;1;2012;5;;"11691A";1.00;0;19053;281.23;312.36;397.00;;
48222;;;;1;2012;5;;"11694A";1.00;0;19053;281.23;312.11;397.00;;
48222;;;;1;2012;5;;"21827A";2.00;0;263;282.10;315.63;401.00;;
48225;;;;1;2012;5;;"14365A";1.00;0;1615;281.41;314.64;400.00;;
48225;;;;1;2012;5;;"21373A";2.00;0;148;281.16;312.57;397.00;;
48225;;;;1;2012;5;;"11315A";1.00;0;19053;281.24;312.18;397.00;;
48225;;;;1;2012;5;;"11102A";1.00;0;1615;281.23;311.50;396.00;;
48225;;;;1;2012;5;;"14365A";1.00;0;19053;281.41;313.38;391.00;;
48225;;;;1;2012;5;;"11317A";1.00;0;1615;280.68;313.09;391.00;;
48223;;;;1;2012;5;;"11315A";1.00;0;19053;281.24;312.52;383.00;;
48223;;;;1;2012;5;;"11315A";1.00;0;19053;281.24;311.93;383.00;;
48225;;;;1;2012;5;;"11102A";1.00;0;19053;281.45;314.54;392.00;;
52193;;;;1;2012;5;;"11486A";1.00;0;19053;291.59;318.77;407.00;;
52193;;;;1;2012;5;;"11486A";1.00;0;19053;291.59;317.34;398.00;;
52193;;;;1;2012;5;;"11487A";1.00;0;263;291.88;291.64;372.00;;
51395;;;;1;2012;5;;"100512";1.00;0;6510;37.71;43.23;56.90;;
64959;;;;1;2012;5;;"41111";3.00;0;6510;69.94;64.46;90.00;;
64959;;;;1;2012;5;;"71211";6.00;0;6510;69.94;64.46;75.00;;
64959;;;;1;2012;5;;"10212";19.00;0;6510;52.08;61.27;72.00;;
13899;;;;1;2012;5;;"331011";3.00;0;148;76.70;63.68;79.50;;
13899;;;;1;2012;5;;"331011";6.00;0;148;76.70;62.61;78.00;;
13899;;;;1;2012;5;;"341011";48.00;0;148;68.81;63.21;77.00;;
13899;;;;1;2012;5;;"341011";17.00;0;148;68.81;62.71;73.50;;
50946;;;;1;2012;5;;"4182";3.00;0;112497;107.80;125.59;156.00;;
50946;;;;1;2012;5;;"4173";5.00;0;19021;104.50;123.90;156.00;;
50946;;;;1;2012;5;;"4173";5.00;0;19021;104.50;124.50;156.00;;
50946;;;;1;2012;5;;"4171";3.00;0;19053;110.00;125.54;156.00;;
50946;;;;1;2012;5;;"4173";2.00;0;19021;104.50;122.21;154.00;;
50946;;;;1;2012;5;;"4183";2.00;0;19053;110.00;124.56;153.00;;
50946;;;;1;2012;5;;"4173";2.00;0;1615;110.00;124.93;153.00;;
50946;;;;1;2012;5;;"4173";10.00;0;19021;104.50;122.21;151.00;;
50946;;;;1;2012;5;;"4173";5.00;0;19021;104.50;121.28;151.00;;
64959;;;;1;2012;5;;"71211";1.00;0;148;69.94;62.17;73.00;;
11271;;;;1;2012;5;;"2060311";2.00;0;6510;220.58;224.84;286.00;;
11271;;;;1;2012;5;;"2060311";1.00;0;112497;220.58;227.08;288.00;;
11270;;;;1;2012;5;;"2570311";2.00;0;6510;233.47;238.04;303.00;;
31643;;;;1;2012;5;;"020911";3.00;0;263;144.93;153.11;190.00;;
31643;;;;1;2012;5;;"020911";4.00;0;263;144.93;152.54;193.00;;
31643;;;;1;2012;5;;"020911";2.00;0;263;144.93;152.54;197.00;;
31643;;;;1;2012;5;;"031111";3.00;0;19021;145.01;157.47;198.00;;
31643;;;;1;2012;5;;"011111";4.00;0;1615;145.01;152.53;197.00;;
31643;;;;1;2012;5;;"011111";1.00;0;1615;145.01;151.99;196.00;;
31643;;;;1;2012;5;;"011111";4.00;0;1615;145.01;159.49;196.00;;
31643;;;;1;2012;5;;"060811";1.00;0;1615;144.91;150.91;188.00;;
30742;;;;1;2012;5;;"2141211";1.00;0;19053;51.22;58.91;76.00;;
13513;;;;1;2012;5;;"040312";1.00;0;19021;350.00;389.81;495.00;;
56858;;;;1;2012;5;;"071211";2.00;0;19021;58.50;59.36;80.50;;
37749;;;;1;2012;5;;"151211";1.00;0;288;55.00;62.56;81.00;;
37749;;;;1;2012;5;;"151211";3.00;0;288;55.00;62.56;82.50;;
37749;;;;1;2012;5;;"120811";2.00;0;263;55.00;62.33;82.50;;
34667;;;;1;2012;5;;"A145N0411";2.00;0;263;68.84;71.73;96.00;;
34667;;;;1;2012;5;;"A274N1011";2.00;0;19053;68.77;78.27;103.00;;
24209;;;;1;2012;5;;"6264N1111";1.00;0;19053;92.76;106.85;141.00;;
24209;;;;1;2012;5;;"5670N0511";3.00;0;112497;92.70;104.65;136.00;;
24209;;;;1;2012;5;;"5040N0111";1.00;0;263;92.71;95.85;127.00;;
24209;;;;1;2012;5;;"5038N0111";1.00;0;263;92.79;96.05;127.00;;
24209;;;;1;2012;5;;"5646N0511";2.00;0;112497;92.72;94.79;126.00;;
66264;;;;1;2012;5;;"0BGGA11002";1.00;0;19021;208.53;238.65;302.00;;
66264;;;;1;2012;5;;"0BGGA11002";2.00;0;148;208.53;239.99;303.00;;
66083;;;;1;2012;5;;"L31103";7.00;0;1615;0.00;152.98;188.00;;
51985;;;;1;2012;5;;"L53086";5.00;0;1615;88.17;104.86;137.00;;
51985;;;;1;2012;5;;"L46192";10.00;0;1615;88.13;104.52;137.00;;
51985;;;;1;2012;5;;"L46192";4.00;0;1615;88.13;104.89;137.00;;
51985;;;;1;2012;5;;"L40189";5.00;0;1615;88.15;103.20;135.00;;
51985;;;;1;2012;5;;"L46192";4.00;0;1615;88.13;104.89;134.00;;
51985;;;;1;2012;5;;"L40192";1.00;0;1615;88.13;104.27;134.00;;
51985;;;;1;2012;5;;"L46192";2.00;0;1615;88.13;103.90;133.00;;
51985;;;;1;2012;5;;"L45926";8.00;0;1615;88.13;103.90;133.00;;
60290;;;;1;2012;5;;"BW6663";4.00;0;1615;68.51;79.48;103.00;;
60290;;;;1;2012;5;;"BW6663";2.00;0;1615;68.51;78.23;103.00;;
60290;;;;1;2012;5;;"BW6663";3.00;0;1615;68.51;78.03;103.00;;
60290;;;;1;2012;5;;"BW6663";2.00;0;6510;68.51;82.17;105.00;;
60290;;;;1;2012;5;;"BW6663";2.00;0;6510;68.51;81.84;107.00;;
60290;;;;1;2012;5;;"BW6663";4.00;0;19021;68.51;78.31;103.00;;
55245;;;;1;2012;5;;"BT8366";5.00;0;1615;75.45;88.61;116.00;;
55245;;;;1;2012;5;;"BT8365";5.00;0;148;75.56;86.44;114.00;;
55245;;;;1;2012;5;;"BT8356";3.00;0;148;75.56;88.17;114.00;;
55245;;;;1;2012;5;;"BT8365";3.00;0;1615;75.56;86.49;114.00;;
55245;;;;1;2012;5;;"BM3673";1.00;0;112497;75.59;86.37;114.00;;
55245;;;;1;2012;5;;"BT8365";3.00;0;1615;75.56;85.91;113.00;;
55245;;;;1;2012;5;;"BM3673";1.00;0;112497;75.59;85.98;113.00;;
55245;;;;1;2012;5;;"BT8365";1.00;0;1615;75.56;86.49;112.00;;
55245;;;;1;2012;5;;"BT8356";5.00;0;148;75.56;85.65;111.00;;
48705;;;;1;2012;5;;"100703";1.00;0;18173;23.51;26.09;33.90;;
56871;;;;1;2012;5;;"171210";2.00;0;19053;569.85;644.00;815.00;;
56871;;;;1;2012;5;;"131010";1.00;0;148;637.61;649.48;809.00;;
24050;;;;1;2012;5;;"51210";1.00;0;263;370.00;389.62;492.00;;
26622;;;;1;2012;5;;"230810";2.00;0;263;26.65;31.54;40.40;;
40864;;;;1;2012;5;;"100911";3.00;0;112497;36.28;39.71;51.70;;
52792;;;;1;2012;5;;"341011";2.00;0;1615;31.30;35.36;46.50;;
38153;;;;1;2012;5;;"10212";3.00;0;288;38.00;44.01;57.00;;
38153;;;;1;2012;5;;"111011";1.00;0;19053;40.00;42.26;57.00;;
